epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
19,0.9970969557762146,0.9997680187225342,33.0,31.0,0.009279467165470123,0.9971869587898254,0.9970059990882874,10993.0,10989.0,0.9535390138626099,0.9759944081306458,43.0,85.0,0.2906190752983093,0.9407252669334412,0.9691091775894165,1278.0,1349.0
20,0.9974598288536072,0.9998258948326111,26.0,30.0,0.007820173166692257,0.9972794055938721,0.9976413249969482,10993.0,10997.0,0.9477313756942749,0.9732992053031921,36.0,108.0,0.35599178075790405,0.9260274171829224,0.9740633964538574,1259.0,1352.0
21,0.996099054813385,0.9998711347579956,40.0,46.0,0.011288036592304707,0.9958302974700928,0.9963722229003906,10974.0,10986.0,0.9462794661521912,0.974550187587738,59.0,89.0,0.27886873483657837,0.9375438690185547,0.957706093788147,1271.0,1336.0
22,0.9960536956787109,0.999661386013031,47.0,40.0,0.014179717749357224,0.9963685870170593,0.9957358241081238,10984.0,10975.0,0.9582577347755432,0.9783346652984619,46.0,69.0,0.23144537210464478,0.9512367248535156,0.9669540524482727,1294.0,1346.0
23,0.9975051879882812,0.9999133348464966,25.0,30.0,0.007820313796401024,0.9972801208496094,0.997732400894165,10991.0,11000.0,0.9560798406600952,0.9777554869651794,66.0,55.0,0.24865491688251495,0.960231363773346,0.952654242515564,1306.0,1328.0
24,0.9962351322174072,0.999799370765686,40.0,43.0,0.010653097182512283,0.996100127696991,0.9963712096214294,10980.0,10983.0,0.9549909234046936,0.9762143492698669,30.0,94.0,0.3055059611797333,0.9354395866394043,0.9784482717514038,1269.0,1362.0
25,0.9970515966415405,0.9998118877410889,32.0,33.0,0.009105264209210873,0.9970070719718933,0.9970974922180176,10988.0,10993.0,0.953902006149292,0.9774383902549744,41.0,86.0,0.28343045711517334,0.9401531219482422,0.9705459475517273,1277.0,1351.0
26,0.9985031485557556,0.9999880194664001,15.0,18.0,0.0046596769243478775,0.998367965221405,0.9986395835876465,11002.0,11011.0,0.9568058252334595,0.9749220609664917,52.0,67.0,0.3148796260356903,0.9523809552192688,0.9626436829566956,1296.0,1340.0
27,0.9983670711517334,0.9998965263366699,16.0,20.0,0.0048391250893473625,0.9981867671012878,0.9985488653182983,11000.0,11010.0,0.9524500966072083,0.9780071377754211,66.0,65.0,0.2808978855609894,0.9532710313796997,0.9525862336158752,1298.0,1326.0
28,0.9947382807731628,0.998887836933136,57.0,59.0,0.01957733929157257,0.9946500062942505,0.9948304295539856,10961.0,10969.0,0.9506351947784424,0.9727646112442017,35.0,101.0,0.378149151802063,0.9302003979682922,0.9746560454368591,1273.0,1346.0
29,0.998729944229126,0.9999866485595703,14.0,14.0,0.004515438806265593,0.998729944229126,0.998729944229126,11009.0,11009.0,0.959709644317627,0.9782348871231079,43.0,68.0,0.25627848505973816,0.9521463513374329,0.969197690486908,1291.0,1353.0
30,0.9988660216331482,0.999946117401123,11.0,14.0,0.003517820267006755,0.9987305998802185,0.9990023374557495,11006.0,11015.0,0.9441016316413879,0.9683976769447327,30.0,124.0,0.4336036443710327,0.9167785048484802,0.9785100221633911,1235.0,1366.0
